path	nominal_bytes	extension	file_type	flags	allocated_512b_blocks	content_sha256
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/clip-screen.svg	3075	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/clip_volume.svg	4891	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/close.svg	2178	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/cloud.svg	2634	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/copy.svg	3528	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/distance.svg	2777	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/earth_controls.png	1465	png	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/earth_controls.svg	6936	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/earth_controls_1.png	1928	png	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/eye.svg	2665	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/eye_2.png	2998	png	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
